CookerStat, GenerateAssetRegistry=16.071074, Initialize=20.098400, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_745C0933492B0C1536B264AE3E69F6E4__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=2719, Duration=1.337525, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5B38D593441EC56E2439ED9CB78C6412__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=4997, Duration=1.180913, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B3AF65B4880FAD6F593DEBF8940A6A9__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=4523, Duration=1.523048, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_34609CF543F12CFDEDB45B9F1C631201__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=409, Duration=1.798023, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2176E1F04C17631B811086BA6E17F93C__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=409, Duration=1.073994, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0F4B913642C47FE432D4978ED5A287B4__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=617, Duration=1.326378, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5AC3DF9A4564F03FEC96CE8A3F371569__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=5451, Duration=1.738690, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_027F8A2F4334D2994B3E92AFFEF360B9__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=2719, Duration=1.236025, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9A1DE87B41DEA45FB65110AB8596AAB7__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=4997, Duration=1.132723, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_31D890FB429500D85504F5961CC11D56__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=4523, Duration=1.538105, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC52FBBC4D4865E1932302AC9DA1B12C__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=409, Duration=1.047794, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A0AEF28E4CA6749230321C8CF79FED65__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=409, Duration=1.236632, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
